time,h_plus,h_cross,amplitude
1.940000000000e+00,1.304654768201e-22,2.975816646193e-19,2.975816932185e-19
1.950000000000e+00,1.304654768201e-22,2.975816647744e-19,2.975816933736e-19
1.960000000000e+00,1.304654768201e-22,2.975816649294e-19,2.975816935287e-19
1.970000000000e+00,1.304654768201e-22,2.975816650845e-19,2.975816936838e-19
1.980000000000e+00,1.304654515765e-22,2.975816652396e-19,2.975816938389e-19
1.990000000000e+00,1.304654515765e-22,2.975816653947e-19,2.975816939940e-19
2.000000000000e+00,1.304654515765e-22,2.975816655498e-19,2.975816941491e-19
2.010000000000e+00,1.304654515765e-22,2.975816657049e-19,2.975816943041e-19
2.020000000000e+00,1.304654515765e-22,2.975816658600e-19,2.975816944592e-19
2.030000000000e+00,1.304654515765e-22,2.975816660151e-19,2.975816946143e-19
2.040000000000e+00,1.304654515765e-22,2.975816661701e-19,2.975816947694e-19
2.050000000000e+00,1.304654515765e-22,2.975816663252e-19,2.975816949245e-19
2.060000000000e+00,1.304654515765e-22,2.975816664803e-19,2.975816950796e-19
2.070000000000e+00,1.304654768201e-22,2.975816666354e-19,2.975816952347e-19
2.080000000000e+00,1.304654768201e-22,2.975816667905e-19,2.975816953898e-19
2.090000000000e+00,1.304654768201e-22,2.975816669456e-19,2.975816955449e-19
2.100000000000e+00,1.304654768201e-22,2.975816671007e-19,2.975816956999e-19
2.110000000000e+00,1.304654768201e-22,2.975816672558e-19,2.975816958550e-19
2.120000000000e+00,1.304654768201e-22,2.975816674108e-19,2.975816960101e-19
2.130000000000e+00,1.304654768201e-22,2.975816675659e-19,2.975816961652e-19
2.140000000000e+00,1.304654515765e-22,2.975816677210e-19,2.975816963203e-19
2.150000000000e+00,1.304654515765e-22,2.975816678761e-19,2.975816964754e-19
2.160000000000e+00,1.304654515765e-22,2.975816680312e-19,2.975816966305e-19
2.170000000000e+00,1.304654515765e-22,2.975816681863e-19,2.975816967855e-19
2.180000000000e+00,1.304654515765e-22,2.975816683414e-19,2.975816969406e-19
